ds,Open,High,Low,Close,y,Volume
26-05-2011,225.5,227.699997,224,226.419998,190.345169,9949950
27-05-2011,226.490005,231.199997,226.255005,230.365005,193.661621,5831020
30-05-2011,230.399994,232.759995,229.735001,230.759995,193.993683,3924750
31-05-2011,232.490005,240.869995,231.5,239.955002,201.723663,17696730
01-06-2011,239,240.699997,237.475006,239.820007,201.610184,6571670
02-06-2011,235.505005,236.669998,234.5,236.029999,213.084595,6722760
03-06-2011,235.994995,237.085007,234.850006,235.675003,212.76413,5988530
06-06-2011,234.529999,239,234.529999,238.125,214.975922,5842800
07-06-2011,236.509995,239.070007,236.380005,237.649994,214.547104,4063470
08-06-2011,235.619995,237.199997,234.820007,235.524994,212.628677,5139390
09-06-2011,235.475006,237.460007,234.149994,236.279999,213.310287,3229940
10-06-2011,236.800003,237.449997,233.020004,236.244995,213.278656,4371910
13-06-2011,235.315002,238,234.414993,237.259995,214.195023,3917780
14-06-2011,237.800003,239.800003,236.550003,238.25,215.088776,6216600
15-06-2011,238,239.580002,236.699997,237.279999,214.213074,7038940
16-06-2011,236.399994,237.199997,233.804993,234.300003,211.522797,4212650
17-06-2011,235.050003,236.610001,233.365005,234.929993,212.091522,7106740
20-06-2011,234.214996,236.145004,227.195007,229.899994,207.550522,7812850
21-06-2011,230.199997,234.399994,230.199997,232.554993,209.947388,5078860
22-06-2011,233.244995,234.779999,231.240005,232.270004,209.690109,3091580
23-06-2011,231.899994,233.945007,231,233.375,210.687683,4133790
24-06-2011,234.899994,238.994995,234.154999,238.315002,215.147491,8287730
27-06-2011,238.300003,243.184998,237.264999,241.615005,218.126648,10256190
28-06-2011,242.940002,243,240.455002,242.304993,218.749573,6096810
29-06-2011,243.5,249.899994,243.5,248.910004,224.712494,10252440
30-06-2011,249.899994,252.494995,247.615005,251.554993,227.100342,13420600
01-07-2011,254,254.759995,247.800003,250.125,225.809372,6652420
04-07-2011,253.5,254.199997,251.240005,253.220001,228.60347,7161680
05-07-2011,252.199997,255.199997,251.449997,254.115005,229.411484,5318640
06-07-2011,253.5,256,251.5,254.529999,229.786133,5892870
07-07-2011,254.610001,257.494995,253.414993,256.579987,231.636856,7389020
08-07-2011,256.600006,258.329987,255.369995,255.914993,231.036484,7544680
11-07-2011,255.899994,256.410004,251.509995,252.434998,227.894791,3972500
